Code,OI/LO/KUSP
OI.2.GQ.2,How can regular practice support the execution of movement patterns and skills?
OI.2.GQ.2.LO.2,Students relate practice and feedback to improvement of movement patterns and skills in various physical activities.
OI.2.GQ.2.LO.2.U.1,"Improving movement patterns and skills through practice, feedback integration, and application of movement elements, concepts, and principles can improve performance in physical activities."
OI.2.GQ.2.LO.2.U.1.K.1,"Practising movement patterns and skills and integrating feedback in various physical activities can improve
- selection and execution of movement patterns or skills
- proficiency and fluency of movements
- movement vocabulary"
OI.2.GQ.2.LO.2.U.1.K.2,"Movement patterns or skills can be transferred across physical activities, e.g., throwing and fielding actions in baseball and cricket or balancing on a beam and balancing on ice."
OI.2.GQ.2.LO.2.U.1.K.3,Applying transferable movement patterns and skills in various physical activities can improve performance.
OI.2.GQ.2.LO.2.U.1.K.4,"Error correction can be facilitated through observations by peers, coaches, or teachers, and can be recognized internally by individuals through practice and refinement."
OI.2.GQ.2.LO.2.U.1.K.5,"A variety of movement skills are used in daily activities and routines, such as shovelling snow, gardening, or climbing stairs."
OI.2.GQ.2.LO.2.U.1.K.6,Rhythmic activities can be expressed through different forms of dance and gymnastics and incorporate movement elements.
OI.2.GQ.2.LO.2.U.1.K.7,"Movement elements include
- force
- body shape
- time, including rhythm
- speed"
OI.2.GQ.2.LO.2.U.1.K.8,"Movement concepts include
- body awareness
- spatial awareness
- effort awareness
- relationships
- qualities of effort"
OI.2.GQ.2.LO.2.U.1.K.9,"Relationships is a movement concept that involves an understanding of with whom, with what objects, or within what environments the body moves."
OI.2.GQ.2.LO.2.U.1.K.10,"Movement principles involve stability, force, and speed."
OI.2.GQ.2.LO.2.U.1.K.11,Stability can be improved by lowering the centre of gravity and enlarging the base of support.
OI.2.GQ.2.LO.2.U.1.SP.1,Practise movement patterns and skills in a variety of physical activities.
OI.2.GQ.2.LO.2.U.1.SP.2,Examine feedback related to movement patterns or skills.
OI.2.GQ.2.LO.2.U.1.SP.3,Identify errors in technique and modifications to improve performance.
OI.2.GQ.2.LO.2.U.1.SP.4,Identify movement skills that can be transferred between daily activities or routines.
OI.2.GQ.2.LO.2.U.1.SP.5,"Apply movement elements, concepts, and principles to various physical activities."
OI.2.GQ.2.LO.2.U.1.SP.6,Demonstrate incorporation of movement elements into rhythmic activities.
OI.3,Movement Tactics and Strategies: Developing and applying creative-thinking and decision-making skills through movement is a feature of becoming a physically literate individual.
OI.3.GQ.3,Why are tactics and strategies important in games and physical activities?
OI.3.GQ.3.LO.3,Students integrate tactics and strategies within various games and physical activities.
OI.3.GQ.3.LO.3.U.1,Movement tactics and strategies can be similar in structure and transferred across various games and activities.
OI.3.GQ.3.LO.3.U.1.K.1,"Games and physical activities with a similar structure can be grouped into categories, including
- territory and invasion games
- net, wall, and racket games
- fielding and striking games
- target games
- individual pursuits"
OI.3.GQ.3.LO.3.U.1.K.2,"Games and physical activities have associated terminology necessary to discuss tactics and strategies, such as
- icing in hockey
- skip in curling
- birdie in golf
- scrummage in rugby"
OI.3.GQ.3.LO.3.U.1.K.3,"Tactics and strategies in territory and invasion games include
- creating and defending open space
- maintaining and gaining possession
- attacking and defending the goal
- gaining possession
- anticipating"
OI.3.GQ.3.LO.3.U.1.K.4,"Tactics and strategies in net, wall, and racket games include
- maintaining a rally
- setting up and defending an attack
- defending and covering open space
- anticipating"
OI.3.GQ.3.LO.3.U.1.K.5,"Tactics and strategies in fielding and striking games include
- hitting a ball to and defending open space
- avoiding getting out
- scoring and preventing runs
- anticipating"
OI.3.GQ.3.LO.3.U.1.K.6,"Tactics and strategies in target games include
- evaluating proximity to target
- avoiding obstacles
- defending space/objects in scoring position
- getting last shot"
OI.3.GQ.3.LO.3.U.1.SP.1,"Examine the structure, tactics, and strategies of various categories of games and physical activities."
OI.3.GQ.3.LO.3.U.1.SP.2,Compare the structure of games and physical activities across categories.
OI.3.GQ.3.LO.3.U.1.SP.3,Practise tactics and strategies in a variety of games and physical activities.
OI.3.GQ.3.LO.3.U.1.SP.4,Integrate activity-specific terminology into games and physical activities.
OI.3.GQ.3.LO.3.U.1.SP.5,Identify tactics and strategies that could be transferred from one game or physical activity to another.
OI.4,Personal and Social Development: Developing personal and social skills through a variety of movement experiences contributes to meaningful participation in physical activity across a lifespan.
OI.4.GQ.4,What role does safety and inclusion play in physical activities?
OI.4.GQ.4.LO.4,Students investigate how safety and inclusion contribute to collective well-being.
OI.4.GQ.4.LO.4.U.1,Considering safety and including others can support collective well-being and participation in games and physical activities.
OI.4.GQ.4.LO.4.U.1.K.1,"Inviting others into physical activities can promote acceptance, foster a sense of belonging, and ensure everyone has an equitable experience."
OI.4.GQ.4.LO.4.U.1.K.2,Social awareness promotes a sense of belonging through the ability to understand and empathize with others.
OI.4.GQ.4.LO.4.U.1.K.3,Learning environments where participants feel safe encourage whole-group participation.
OI.4.GQ.4.LO.4.U.1.K.4,"Working together during physical activities can be accomplished by
- adhering to fair play and etiquette guidelines
- allowing all participants to work together, to share ideas, to ask questions, or to hold varying roles
- providing opportunities to develop independence and interdependence
- valuing diversity"
OI.4.GQ.4.LO.4.U.1.K.5,"Safety in physical education contexts includes warm-up and cool-down routines, etiquette, and sportsmanship."
OI.4.GQ.4.LO.4.U.1.K.6,"Warm-ups and cool-downs can be generalized or activity-specific, such as active and passive warm-ups, which help reduce the risk of injury during and after an activity."
OI.4.GQ.4.LO.4.U.1.K.7,"Sportsmanship and etiquette contribute to safety in physical activity contexts and can be demonstrated by displaying fair play and behaving respectfully toward teammates, opponents, and officials."
OI.4.GQ.4.LO.4.U.1.K.8,"Demonstrating etiquette can involve behaviours that are universal to every sport, such as following rules, or can also be sport-specific, such as bowing before and after matches as a sign of respect in martial arts."
OI.4.GQ.4.LO.4.U.1.SP.1,Relate inclusion to physical activity.
OI.4.GQ.4.LO.4.U.1.SP.2,"Engage in individual or group behaviours that demonstrate inclusion, etiquette, and sportsmanship in games and physical activities."
OI.4.GQ.4.LO.4.U.1.SP.3,Discuss the relationship between participation and feeling safe and included in physical activity.
OI.4.GQ.4.LO.4.U.1.SP.4,Develop rules and protocols that support inclusion in games and physical activities.
OI.4.GQ.4.LO.4.U.1.SP.5,Practise routines that improve safety in a variety of games and physical activities.
OI.4.GQ.5,How can communication contribute to participation in physical activity?
OI.4.GQ.5.LO.5,Students investigate how communication can be used in games and physical activities.
OI.4.GQ.5.LO.5.U.1,Communication and conflict resolution can enhance cooperation in games and physical activities.
OI.4.GQ.5.LO.5.U.1.K.1,"Communication during physical activity supports a common understanding of goals, structure, rules, sportsmanship, and etiquette."
OI.4.GQ.5.LO.5.U.1.K.2,"Communication during games and physical activities can be achieved through
- verbal communication
- non-verbal communication
- visual cues
- active listening"
OI.4.GQ.5.LO.5.U.1.K.3,Developing communication skills increases the ability to interact confidently and positively in games and physical activities.
OI.4.GQ.5.LO.5.U.1.K.4,"Resolving conflict during games and physical activities requires negotiation, compromise, and mediation."
OI.4.GQ.5.LO.5.U.1.K.5,"Resolving conflict often involves social and emotional skills, including
- self- and social awareness
- self-management
- responsible decision making
- relationship building"
OI.4.GQ.5.LO.5.U.1.K.6,"Cooperative games and physical activities rely on participants working together for individual and group success, often involving
- responding positively
- resolving conflict
- exhibiting inclusive behaviours
- working toward common goals
- being a leader or a follower"
OI.4.GQ.5.LO.5.U.1.K.7,"Conflict during games and physical activities can be caused by
- disregarding rules
- excluding others
- dishonesty
- compromising the safety of others"
OI.4.GQ.5.LO.5.U.1.SP.1,Identify ways of communicating during games or physical activities.
OI.4.GQ.5.LO.5.U.1.SP.2,Participate in cooperative games and physical activities as a leader and a follower.
OI.4.GQ.5.LO.5.U.1.SP.3,Discuss negative consequences associated with conflict in games and physical activities.
OI.4.GQ.5.LO.5.U.1.SP.4,Identify ways to resolve conflict during games and physical activities.
OI.5,Food Literacy: A lifetime of optimal well-being and physical wellness is supported by prioritizing nutrition and food literacy.
OI.5.GQ.6,How does food literacy contribute to making balanced food choices?
OI.5.GQ.6.LO.6,Students examine how food literacy supports personal well-being.
OI.5.GQ.6.LO.6.U.1,Food literacy can support optimal well-being across a lifespan.
OI.5.GQ.6.LO.6.U.1.K.1,"Food literacy encompasses knowledge, skills, and attitudes about food and supports individuals in making balanced food choices."
OI.5.GQ.6.LO.6.U.1.K.2,"Components of food literacy include
- appreciation of the social and cultural aspects of food
- consideration of the nutritional value of food
- application of nutrition knowledge to food choices
- food decisions that address needs within available resources
- knowledge of food sources
- food-preparation and meal-planning skills
- connection between food and personal well-being"
OI.5.GQ.6.LO.6.U.1.K.3,"Sharing food with others can support social and cultural connection and belonging through shared conversation, traditions, and experience."
OI.5.GQ.6.LO.6.U.1.K.4,"Individuals can make informed choices that support optimal health and well-being by using food guides, which include nutritional information."
OI.5.GQ.6.LO.6.U.1.K.5,"Various factors can influence an individual’s ability and motivation to make balanced food choices, including
- awareness of why, what, when, where, and how much to eat
- knowledge of food preparation
- personal preferences
- food packaging and labelling
- media and marketing
- access, availability, and cost
- culture, religion, and tradition"
OI.5.GQ.6.LO.6.U.1.K.6,"Advertising that features the ease of access, availability, and cost of processed foods can influence an individual’s ability to make balanced food choices."
OI.5.GQ.6.LO.6.U.1.SP.1,Discuss food literacy and its impact on well-being.
OI.5.GQ.6.LO.6.U.1.SP.2,Examine how food guides can support balanced food choices.
OI.5.GQ.6.LO.6.U.1.SP.3,Explore ways diverse social and cultural practices influence food literacy.
OI.5.GQ.6.LO.6.U.1.SP.4,Examine factors that influence food choices.
OI.6,Safety: A lifetime of optimal well-being is supported by prioritizing health and safety.
OI.6.GQ.7,What factors can influence an individual’s physical and mental safety?
OI.6.GQ.7.LO.7,Students examine strategies that support health and safety in a variety of contexts.
OI.6.GQ.7.LO.7.U.1,Strategies can be used to reduce risks and optimize health and safety.
OI.6.GQ.7.LO.7.U.1.K.1,Risk management involves assessment and mitigation of risks to reduce the likelihood of negative outcomes.
OI.6.GQ.7.LO.7.U.1.K.2,"Taking measured risks in everyday life can involve cycles of failure or challenge, adaptation, and success and can result in new learnings, confidence, and creativity."
OI.6.GQ.7.LO.7.U.1.K.3,"Peer pressure affects individuals within a group who share similar interests and social status, and can be direct, e.g., through explicit demands, or indirect, e.g., through subtle cues."
OI.6.GQ.7.LO.7.U.1.K.4,"Peer pressure can influence decision making related to
- online behaviour
- social behaviour
- taking risks
- following laws
- use of protective equipment
- substance use"
OI.6.GQ.7.LO.7.U.1.K.5,"Substances can change the way the body and mind function and can be categorized as
- illegal
- legal, e.g., alcohol, tobacco, cannabis
- medicinal, e.g., pain relievers, antibiotics"
OI.6.GQ.7.LO.7.U.1.K.6,"Substance use disorder is a physiological and psychological dependence on a substance, which impacts individuals regardless of
- age or gender
- education or occupation
- culture or socio-economic status"
OI.6.GQ.7.LO.7.U.1.K.7,Individuals experiencing challenges with substance use or substance use disorder can seek assistance from family members and a variety of health professionals and community agencies.
OI.6.GQ.7.LO.7.U.1.K.8,"Protective factors that can help safeguard an individual from substance use disorder or various forms of addiction include
- positive peers/friends
- a safe and caring school environment
- positive role models
- participation in extracurricular activities"
OI.6.GQ.7.LO.7.U.1.K.9,"Strategies that can reduce risk to personal health and safety include
- informing others and minimizing time alone in situations of increased vulnerability
- performing risk assessments
- accessing community supports
- connecting with a trusted adult
- requesting, obtaining, giving, or refusing consent
- attending regular health checks, e.g., dental or medical
- performing regular personal hygiene practices"
OI.6.GQ.7.LO.7.U.1.K.10,"Individuals can access training related to personal safety through community programs, such as
- cardiopulmonary resuscitation (CPR) and automated external defibrillator (AED) use
- water, farm, and online safety"
OI.6.GQ.7.LO.7.U.1.SP.1,Discuss strategies to manage risk to personal health and safety.
OI.6.GQ.7.LO.7.U.1.SP.2,Assess risks in various everyday situations.
OI.6.GQ.7.LO.7.U.1.SP.3,Explore opportunities and situations for measured risk taking.
OI.6.GQ.7.LO.7.U.1.SP.4,Reflect on ways that peer pressure influences decision making.
OI.6.GQ.7.LO.7.U.1.SP.5,Investigate community programs related to safety.
OI.6.GQ.7.LO.7.U.1.SP.6,Identify ways that substance use can negatively influence behaviours that support safety.
OI.6.GQ.7.LO.7.U.1.SP.7,Discuss approaches and programs to reduce exploitation risks.
OI.7,"Growth and Development: Positive sexual health, developed and affirmed through informed decision making, supports well-being."
OI.7.GQ.8,How can beliefs and decisions impact sexual health?
OI.7.GQ.8.LO.8,Students explore personal beliefs and decisions in relation to sexual health and activity.
OI.7.GQ.8.LO.8.U.1,Sexual health is complex and is affected by personal beliefs and decisions.
OI.7.GQ.8.LO.8.U.1.K.1,"Sexuality encompasses an individual’s identity, feelings, relationships, and experiences and includes sexual health, which focuses on physical, emotional, and social well-being in relation to sexual activity and reproduction."
OI.7.GQ.8.LO.8.U.1.K.2,"Sexual health involves several interconnected components, including
- self-image
- gender
- sexual orientation
- sex
- sexual relationships
- sexual activity"
OI.7.GQ.8.LO.8.U.1.K.3,"Personal beliefs about sexual health can be influenced by
- family, including parents, caregivers, and guardians
- Elders
- Knowledge Keepers
- peers
- media
- traditional, cultural, and religious values"
OI.7.GQ.8.LO.8.U.1.K.4,Individuals have the right to make personal decisions about sexual activity.
OI.7.GQ.8.LO.8.U.1.K.5,"Sexual activity includes a range of activities, from any physical contact to sexual intercourse."
OI.7.GQ.8.LO.8.U.1.K.6,"Personal decisions about sexual activity can be influenced by
- media
- personal beliefs
- alcohol and drug use
- feelings and emotions
- hormones
- sexually explicit material"
OI.7.GQ.8.LO.8.U.1.K.7,"Sexually explicit material, such as pornography, can unrealistically portray sexual activity and can be harmful to the viewer."
OI.7.GQ.8.LO.8.U.1.K.8,Adolescents can obtain evidence-based information necessary for making informed decisions regarding sexual activity from a variety of credible sources.
OI.7.GQ.8.LO.8.U.1.K.9,Personal decisions that support sexual health include abstinence and delayed sexual activity.
OI.7.GQ.8.LO.8.U.1.K.10,"The personal decision to practise abstinence can be made at any time, even after past sexual activity."
OI.7.GQ.8.LO.8.U.1.K.11,"The personal decision to practise abstinence may be made because an individual
- is not ready for sexual activity
- does not want to engage in sexual activity
- wants to prevent pregnancy
- wants to prevent STBBIs
- has other medical or personal reasons"
OI.7.GQ.8.LO.8.U.1.K.12,"Sexually transmitted infections, known as STIs, are viral or bacterial infections that can be transmitted through sexual activity."
OI.7.GQ.8.LO.8.U.1.K.13,"Blood-borne infections, known as BBIs, are viral or bacterial infections that can be transmitted through contact with blood."
OI.7.GQ.8.LO.8.U.1.K.14,Individuals may be unaware of having contracted an STBBI as symptoms may or may not be present.
OI.7.GQ.8.LO.8.U.1.K.15,"Risk of blood-borne infections can be increased by
- engaging in sexual activity
- sharing needles
- getting body piercings
- getting tattoos
- being exposed to blood"
OI.7.GQ.8.LO.8.U.1.K.16,Abstinence is the most effective way to prevent STBBIs.
OI.7.GQ.8.LO.8.U.1.K.17,Community organizations offer counselling and confidential testing for STBBIs.
OI.7.GQ.8.LO.8.U.1.K.18,"Preventing pregnancy involves personal decisions related to
- using methods of contraception correctly and consistently
- clearly communicating intentions for sexual activity
- delaying sexual activity
- limiting sexual activity"
OI.7.GQ.8.LO.8.U.1.K.19,"Contraception refers to the different methods used to prevent pregnancy and can be
- surgical
- barrier
- hormonal
- natural"
OI.7.GQ.8.LO.8.U.1.SP.1,Describe the components of sexual health.
OI.7.GQ.8.LO.8.U.1.SP.2,Examine how personal beliefs and decisions influence sexual health and activity.
OI.7.GQ.8.LO.8.U.1.SP.3,Consider possible impacts of sexually explicit material.
OI.7.GQ.8.LO.8.U.1.SP.4,"Determine credible sources of information on sexually transmitted and blood-borne infections, known as STBBIs, and contraception."
OI.7.GQ.8.LO.8.U.1.SP.5,Explore sexual health supports in the local community.
OI.7.GQ.8.LO.8.U.1.SP.6,Research various STBBIs and methods of contraception.
OI.8,"Healthy Sexual Relationships: Personal well-being can be supported through healthy sexual relationships built on respect, communication, and trust."
OI.8.GQ.9,How can healthy sexual relationships contribute to personal well-being?
OI.8.GQ.9.LO.9,Students examine intimacy and its role in healthy sexual relationships.
OI.8.GQ.9.LO.9.U.1,Experiences of intimacy in healthy relationships can contribute to personal well-being.
OI.8.GQ.9.LO.9.U.1.K.1,Intimacy is a feeling of connection and closeness that is based on mutual trust and respect.
OI.8.GQ.9.LO.9.U.1.K.2,"Individuals can share various types of intimacy with someone else, including
- physical
- emotional
- intellectual
- spiritual
- social"
OI.8.GQ.9.LO.9.U.1.K.3,"Personal decisions related to intimacy require social and emotional maturity, which often develops later in adolescence."
OI.8.GQ.9.LO.9.U.1.K.4,"Types of intimacy can be experienced in various forms of healthy relationships, including social relationships and sexual relationships."
OI.8.GQ.9.LO.9.U.1.K.5,Sexual relationships can involve physical intimacy without involving emotional intimacy.
OI.8.GQ.9.LO.9.U.1.K.6,Healthy sexual relationships are based on sexual consent.
OI.8.GQ.9.LO.9.U.1.K.7,"Sexual activity refers to any activity that induces arousal, including kissing, fondling, and sexual intercourse."
OI.8.GQ.9.LO.9.U.1.K.8,"Establishing sexual consent ensures individuals have the right to make personal decisions about sexual activity, including
- abstinence
- delaying sexual activity
- setting limits on consensual sexual activity"
OI.8.GQ.9.LO.9.U.1.K.9,"The process of social and emotional maturity involves
- developing an identity
- managing emotions
- feeling and showing empathy
- establishing and communicating personal boundaries
- managing conflict appropriately
- making responsible decisions
- taking responsibility for personal actions"
OI.8.GQ.9.LO.9.U.1.K.10,"Sexual consent should be provided for every sexual activity, and can be withdrawn, both verbally and non-verbally, at any time."
OI.8.GQ.9.LO.9.U.1.K.11,"When considering whether to engage in sexual relationships, individuals can consult trusted sources of support, such as
- parents or caregivers
- health professionals"
OI.8.GQ.9.LO.9.U.1.SP.1,Differentiate between types of intimacy.
OI.8.GQ.9.LO.9.U.1.SP.2,Describe healthy sexual relationships.
OI.8.GQ.9.LO.9.U.1.SP.3,Explain sexual consent.
OI.8.GQ.9.LO.9.U.1.SP.4,Discuss verbal and non-verbal ways sexual consent can be provided or withdrawn.
OI.8.GQ.9.LO.9.U.1.SP.5,Identify trusted sources of support related to sexual relationships.
OI.8.GQ.9.LO.9.U.1.SP.6,Discuss social and emotional maturity during adolescence.
OI.9,"Healthy Social Relationships: Personal well-being is supported through healthy relationships built on respect, communication, and trust."
OI.9.GQ.10,How can individuals develop healthy relationships with themselves and others?
OI.9.GQ.10.LO.10,Students relate changes during adolescence to the development of healthy relationships.
OI.9.GQ.10.LO.10.U.1,Changes during adolescence impact behaviours and relationships.
OI.9.GQ.10.LO.10.U.1.K.1,"Healthy relationships are built on respect, communication, and trust while appreciating one another’s strengths and experiences."
OI.9.GQ.10.LO.10.U.1.K.2,"An individual’s experiences, social context, and personal identity influence healthy relationships."
OI.9.GQ.10.LO.10.U.1.K.3,"Adolescents can experience significant physical, cognitive, emotional, and social changes that can affect relationships and social behaviours, including
- growth spurts
- maturation of external sex organs
- increased levels of sex hormones
- brain development
- increased peer influence
- hormonal shifts
- altered sleep patterns
- increased independence
- identity formation"
OI.9.GQ.10.LO.10.U.1.K.4,"Emotional changes during adolescence can increase the capacity for empathy, emotional intelligence, and self-management."
OI.9.GQ.10.LO.10.U.1.K.5,"Social behaviour can be
- positive or negative
- expressed through words, body language, facial expression, and eye contact
- influenced by personal, social, cultural, or religious identity"
OI.9.GQ.10.LO.10.U.1.K.6,"Positive social behaviours in relationships include communicating effectively to resolve conflict, listening actively to support cooperation, and establishing personal boundaries to support mutual trust and respect."
OI.9.GQ.10.LO.10.U.1.K.7,"Conflict in relationships can have positive impacts, such as learning more about an individual’s values, beliefs, and ideas, and improving communication."
OI.9.GQ.10.LO.10.U.1.K.8,Behaviour plans define appropriate behaviour in a variety of settings and can have a positive impact on group conflicts through assisting in resolving matters amicably and equitably.
OI.9.GQ.10.LO.10.U.1.K.9,"Effective communication enables individuals to express their feelings, understand how others are feeling, and support positive behaviours."
OI.9.GQ.10.LO.10.U.1.K.10,"Negative social behaviours include
- perpetuating stereotypes and biases
- ineffective communication
- demonstrating lack of respect
- bullying"
OI.9.GQ.10.LO.10.U.1.K.11,"Strategies that support individuals faced with negative social behaviours include
- mitigating and managing risk
- communicating effectively
- clarifying perspectives
- practising self-regulation"
OI.9.GQ.10.LO.10.U.1.SP.1,Examine how changes during adolescence affect relationships.
OI.9.GQ.10.LO.10.U.1.SP.2,Practise positive social behaviours in a variety of contexts.
OI.9.GQ.10.LO.10.U.1.SP.3,Practise strategies for responding to negative social behaviours.
OI.9.GQ.10.LO.10.U.1.SP.4,Discuss the impacts of negative social behaviour on relationships.
OI.10,Mental Well-Being: Developing and affirming skills that support mental health contribute to well-being.
OI.10.GQ.11,In what ways can mental well-being be supported in adolescence?
OI.10.GQ.11.LO.11,Students explore protective strategies to support mental well-being.
OI.10.GQ.11.LO.11.U.1,Developing and maintaining protective strategies during adolescence can contribute to mental well-being.
OI.10.GQ.11.LO.11.U.1.K.1,"Mental well-being includes the ability to manage stressors, work productively toward desired goals, build positive relationships, and respond effectively to challenges."
OI.10.GQ.11.LO.11.U.1.K.2,"Mental health is the current state of an individual’s cognitive, social, and emotional condition and is closely connected to physical health and well-being."
OI.10.GQ.11.LO.11.U.1.K.3,Mental health can be supported by self-care and connection to family and friends.
OI.10.GQ.11.LO.11.U.1.K.4,"Adolescents can experience stress related to family, personal development, school, and involvement in community activities."
OI.10.GQ.11.LO.11.U.1.K.5,"Stress is a natural response to stressors, such as not feeling a sense of belonging, and can result in changes in
- emotions and feelings
- thought processes (cognition)
- physical function
- behaviour"
OI.10.GQ.11.LO.11.U.1.K.6,Adolescence is a life stage during which individuals can respond to developmental changes through protective strategies related to self-awareness and self-management.
OI.10.GQ.11.LO.11.U.1.K.7,"Protective strategies related to self-awareness include
- identifying and naming emotions
- practising mindfulness and meditation
- engaging in self-reflection
- identifying personal strengths
- developing interests and a sense of purpose
- taking initiative to promote change"
OI.10.GQ.11.LO.11.U.1.K.8,"Protective strategies related to self-management include
- strengthening organizational and time-management skills
- practising deep breathing
- engaging in daily physical activity
- building and maintaining social connection
- establishing a consistent sleep routine
- maintaining balanced nutrition
- planning and achieving goals"
OI.10.GQ.11.LO.11.U.1.K.9,Self-awareness and self-management strategies can support self-esteem.
OI.10.GQ.11.LO.11.U.1.K.10,Positive self-image is a component of self-esteem and includes accepting and appreciating one’s body and valuing personal strengths.
OI.10.GQ.11.LO.11.U.1.SP.1,Explore incorporation of protective strategies into everyday situations and routines.
OI.10.GQ.11.LO.11.U.1.SP.2,Discuss stressors associated with adolescence.
OI.10.GQ.11.LO.11.U.1.SP.3,Reflect on personal experiences with stress.
OI.10.GQ.11.LO.11.U.1.SP.4,Reflect on personal strengths that promote self-esteem.
OI.10.GQ.11.LO.11.U.1.SP.5,Relate protective strategies to mental well-being.
